,Group.1,Group.2,Group.3,x
753,5,2005,GROO,13.434999999999999
754,6,2005,GROO,15.965
755,7,2005,GROO,19.675
756,8,2005,GROO,16.78
757,9,2005,GROO,19.96
758,10,2005,GROO,19.27
759,11,2005,GROO,19.87
760,12,2005,GROO,11.69
761,1,1990,HAMM,31.585
762,2,1990,HAMM,32.08
763,3,1990,HAMM,31.98
764,4,1990,HAMM,31.86
765,5,1990,HAMM,32.87
766,6,1990,HAMM,32.52
767,7,1990,HAMM,32.54
768,8,1990,HAMM,32.53
769,9,1990,HAMM,32.74
770,10,1990,HAMM,33.58
771,11,1990,HAMM,33.01
772,12,1990,HAMM,32.96
773,1,1991,HAMM,31.9
774,2,1991,HAMM,31.49
775,3,1991,HAMM,31.72
776,4,1991,HAMM,31.84
777,5,1991,HAMM,31.26
778,6,1991,HAMM,31.58
779,7,1991,HAMM,31.455
780,8,1991,HAMM,32.28
781,9,1991,HAMM,32.95
782,10,1991,HAMM,33.29
783,11,1991,HAMM,32.78
784,12,1991,HAMM,33.31
785,1,1992,HAMM,32.15
786,2,1992,HAMM,31.59
787,3,1992,HAMM,31.93
788,4,1992,HAMM,30.93
789,5,1992,HAMM,31.29
790,6,1992,HAMM,31.7
791,7,1992,HAMM,31.36
792,8,1992,HAMM,31.61
793,9,1992,HAMM,31.8
794,10,1992,HAMM,32.95
795,11,1992,HAMM,32.7
796,12,1992,HAMM,31.915
797,1,1993,HAMM,31.71
798,2,1993,HAMM,31.54
799,3,1993,HAMM,31.455
800,4,1993,HAMM,31.7
801,5,1993,HAMM,31.47
802,6,1993,HAMM,31.91
803,7,1993,HAMM,32.28
804,8,1993,HAMM,32.26
805,9,1993,HAMM,32.23
806,10,1993,HAMM,31.64
807,11,1993,HAMM,31.57
808,12,1993,HAMM,31.4
809,1,1994,HAMM,30.255000000000003
810,3,1994,HAMM,30.503333333333334
811,4,1994,HAMM,29.19
812,5,1994,HAMM,30.56
813,6,1994,HAMM,30.43
814,7,1994,HAMM,30.82
815,8,1994,HAMM,31.52
816,9,1994,HAMM,31.699999999999996
817,10,1994,HAMM,31.28
818,11,1994,HAMM,31.29
819,12,1994,HAMM,32.28
820,1,1995,HAMM,30.015
821,2,1995,HAMM,29.52
822,3,1995,HAMM,30.115000000000002
823,4,1995,HAMM,29.15
824,5,1995,HAMM,29.005000000000003
825,6,1995,HAMM,29.655
826,7,1995,HAMM,29.07
827,8,1995,HAMM,29.81
828,9,1995,HAMM,29.82
829,10,1995,HAMM,29.81
830,11,1995,HAMM,30.48
831,12,1995,HAMM,30.61
832,1,1996,HAMM,31.3
833,2,1996,HAMM,31.38
834,3,1996,HAMM,31.96
835,4,1996,HAMM,31.824999999999996
836,5,1996,HAMM,32.085
837,6,1996,HAMM,31.445
838,7,1996,HAMM,31.43
839,8,1996,HAMM,31.71
840,9,1996,HAMM,31.54
841,10,1996,HAMM,31.55
842,11,1996,HAMM,31.82
843,12,1996,HAMM,31.92
844,1,1997,HAMM,NaN
845,2,1997,HAMM,31.994999999999997
846,3,1997,HAMM,31.995
847,4,1997,HAMM,32.185
848,5,1997,HAMM,31.85
849,6,1997,HAMM,31.445
850,7,1997,HAMM,31.38
851,8,1997,HAMM,31.5
852,9,1997,HAMM,31.979999999999997
853,10,1997,HAMM,32.11
854,11,1997,HAMM,31.95
855,12,1997,HAMM,31.83
856,1,1998,HAMM,31.55
857,2,1998,HAMM,31.369999999999997
858,3,1998,HAMM,31.22
859,4,1998,HAMM,31.22
860,5,1998,HAMM,31.285
861,6,1998,HAMM,31.59
862,7,1998,HAMM,32.16
863,8,1998,HAMM,32.644999999999996
864,9,1998,HAMM,32.925
865,10,1998,HAMM,32.47
866,11,1998,HAMM,31.19
867,12,1998,HAMM,30.99
868,1,1999,HAMM,30.4
869,2,1999,HAMM,29.14
870,3,1999,HAMM,29.555
871,4,1999,HAMM,30.005000000000003
872,5,1999,HAMM,30.43
873,6,1999,HAMM,30.75
874,7,1999,HAMM,31.384999999999998
875,8,1999,HAMM,31.433333333333334
876,9,1999,HAMM,31.84
877,10,1999,HAMM,32.06
878,11,1999,HAMM,31.33
879,12,1999,HAMM,30.81
880,1,2000,HAMM,30.07
881,2,2000,HAMM,29.85
882,3,2000,HAMM,29.21
883,4,2000,HAMM,29.59
884,5,2000,HAMM,29.97
885,6,2000,HAMM,30.925
886,7,2000,HAMM,31.003333333333334
887,8,2000,HAMM,30.985
888,9,2000,HAMM,31.409999999999997
889,10,2000,HAMM,31.51
890,11,2000,HAMM,31.45
891,12,2000,HAMM,31.69
892,1,2001,HAMM,30.55
893,2,2001,HAMM,31.03
894,3,2001,HAMM,30.645
895,4,2001,HAMM,29.85
